Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Mouth sores,Fatigue,Sore muscles,,,,,,,,,,
Roseola,High fever,Rash,Sore throat,Cough,Red eyes,Diarrhea,Loss of appetite,Body aches,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Stomach cramps,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,Chills,Joint pain,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Loss of appetite,Sweating,Body aches,Rashes,General discomfort,Fever,,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Abdominal pain,Body aches,Rashes,,,,,
Roseola,High fever,Runny nose,Rash,Headache,Cough,Body aches,Chills,Feverish,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Stomach cramps,Muscle aches,Chills,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Fatigue,Sweating,Irritability,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Stomach cramps,Fatigue,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Dehydration,Loss of appetite,Body aches,Rashes,Chills,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Diarrhea,Loss of appetite,Body aches,Chills,Feverish,,,,
Roseola,High fever,Swollen lymph nodes,Sore throat,Headache,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Fatigue,Loss of appetite,Feverish,General discomfort,Chills,Joint pain,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Body aches,Rashes,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Abdominal pain,Loss of appetite,General discomfort,,,,,,,,,,,
Scarlet Fever,Fever,Sore throat,Red lines in body folds,Red rash on the body,Strawberry tongue,Abdominal pain,Headache and body aches,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Cough,Loss of appetite,Abdominal pain,Body aches,,,,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Rashes,Chills,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Stomach cramps,Headache,Fatigue,Body aches,Rashes,Joint pain,,,,,,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Diarrhea,Vomiting,Abdominal pain,Rashes,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Headache,Cough,Diarrhea,Vomiting,Rashes,Chills,Feverish,,,,,
Norovirus Infection,Diarrhea,Nausea,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Dehydration,Chills,Body aches,Rashes,General discomfort,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Bloody stools,Stomach cramps,Headache,Body aches,Rashes,General discomfort,Chills,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Headache,Dehydration,Chills,Irritability,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Red eyes,Vomiting,Body aches,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Headache,Dehydration,Muscle aches,Body aches,Rashes,Chills,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Sore throat,Red eyes,Vomiting,Body aches,Chills,,,,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Swollen lymph nodes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sore throat,Red spots,Cough,Sore muscles,Headache,Mild fever,,,,,,,,,
Roseola,High fever,Irritability,Swollen lymph nodes,Red eyes,Vomiting,Body aches,Rashes,Feverish,,,,,,,,
Mumps,"Swollen, painful salivary glands",Fever,Tiredness,Loss of appetite,Headache,Loss of appetite,,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Sore throat,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Loss of appetite,Body aches,Feverish,General discomfort,Chills,Joint pain,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Abdominal pain,Body aches,Fever,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Headache,Fatigue,Loss of appetite,Body aches,General discomfort,,,,,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Headache,Red eyes,Loss of appetite,Rashes,Chills,Feverish,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Vomiting,Abdominal pain,Body aches,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Dehydration,Rashes,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,General discomfort,Chills,,,,
Scarlet Fever,Swollen glands,Fever,Sore throat,Red lines in body folds,Sore and red throat with patches,Abdominal pain,Headache and body aches,,,,,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Stomach cramps,Loss of appetite,Joint pain,,,,,,,,,,,,
Norovirus Infection,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Rashes,,,,,,,,,
Scarlet Fever,Sore throat,Strawberry tongue,Difficulty swallowing,Abdominal pain,,,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Fatigue,Fever,Irritability,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Headache,Fatigue,Abdominal pain,Dehydration,Chills,Sweating,Body aches,Fever,Irritability,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Dehydration,Chills,Body aches,Rashes,Irritability,,,,
Roseola,High fever,Fatigue,Swollen lymph nodes,Sore throat,Vomiting,Loss of appetite,Rashes,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Fatigue,Loss of appetite,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,,,
Mumps,Muscle aches,Tiredness,Testicle pain and tenderness,Headache,Loss of appetite,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Fatigue,Dehydration,Body aches,Chills,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Feverish,General discomfort,Chills,Joint pain,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Sore throat,Headache,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,
Conjunctivitis (Pink Eye),Redness in the white of the eye (sclera) or inner eyelid,Sensation of a foreign object in the eye,Itchy or irritated eyes,Burning sensation in the eyes,,,,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Headache,Rashes,Feverish,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Body aches,Rashes,General discomfort,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Feverish,Chills,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,General discomfort,,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,,,
Roseola,Rash,Irritability,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Fatigue,Body aches,Rashes,General discomfort,,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Nausea,Fatigue,Abdominal pain,Loss of appetite,Sweating,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,General discomfort,Chills,,,,,
Roseola,Runny nose,Irritability,Fatigue,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Chills,Feverish,,,,,,
Roseola,Irritability,Swollen lymph nodes,Headache,Cough,Red eyes,Abdominal pain,Body aches,,,,,,,,,
Norovirus Infection,Low-grade fever,Chills,Sweating,Body aches,Fever,Irritability,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Sore throat,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Dehydration,Sweating,Body aches,Rashes,General discomfort,Irritability,,,,,,,
Roseola,Runny nose,Irritability,Sore throat,Headache,Vomiting,Chills,,,,,,,,,,
Norovirus Infection,Low-grade fever,Headache,Loss of appetite,Chills,Sweating,General discomfort,Irritability,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Bloody stools,Headache,Dehydration,Loss of appetite,Muscle aches,General discomfort,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,General discomfort,Chills,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Headache,Loss of appetite,Dehydration,Body aches,General discomfort,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Fatigue,Abdominal pain,Loss of appetite,Chills,Rashes,Fever,,,,,,,
"Hand, Foot, and Mouth Disease",Sore throat,Mouth sores,Blisters,Fatigue,Cough,Difficulty swallowing,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Irritability,Blisters,Fatigue,Cough,Headache,General discomfort,Mild fever,,,,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Nausea,Headache,Abdominal pain,Chills,Rashes,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,General discomfort,Joint pain,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Body aches,Rashes,General discomfort,Joint pain,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Sore throat,Headache,Diarrhea,Loss of appetite,Body aches,Chills,,,,,
Roseola,High fever,Sore throat,Diarrhea,Abdominal pain,Chills,Feverish,,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Sore throat,Diarrhea,Loss of appetite,Rashes,Chills,,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Body aches,General discomfort,,,,,,
Roseola,Rash,Headache,Cough,Vomiting,Abdominal pain,Body aches,Rashes,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Abdominal pain,Loss of appetite,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Bloody stools,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,Chills,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Headache,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Diarrhea,Abdominal pain,Body aches,Rashes,Feverish,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Headache,Red eyes,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Loss of appetite,Irritability,Mouth sores,Blisters,Fatigue,Sore muscles,Mild fever,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Dehydration,Body aches,Rashes,Joint pain,,,,,,,
Roseola,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Loss of appetite,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Sore throat,Headache,Diarrhea,Vomiting,Body aches,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Loss of appetite,Body aches,General discomfort,Joint pain,,,,,,
Scarlet Fever,Swollen glands,Red rash on the body,Strawberry tongue,Fever (100.4�F / 38.0�C or higher),Sore and red throat with patches,Headache and body aches,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,,
Norovirus Infection,Diarrhea,Vomiting,Abdominal pain,Loss of appetite,Dehydration,Rashes,General discomfort,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Feverish,Joint pain,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Fatigue,Loss of appetite,Dehydration,Irritability,,,,,,,,,
Roseola,High fever,Fatigue,Headache,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Cough,Red eyes,Diarrhea,Vomiting,Body aches,Chills,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Sweating,General discomfort,Fever,Irritability,,,,
Roseola,High fever,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,Rashes,,,,,,
Roseola,Rash,Irritability,Fatigue,Headache,Red eyes,Diarrhea,Abdominal pain,,,,,,,,,
Mumps,"Swollen, painful salivary glands",Muscle aches,Tiredness,Testicle pain and tenderness,Fever,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Rashes,,,,,,,
Fifth Disease (Erythema Infectiosum),Runny or stuffy nose,Mild fever,Swollen joints,Fever,Malaise,Myalgias,Vomiting,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,Rashes,Fever,Irritability,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Abdominal pain,Loss of appetite,Body aches,Rashes,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Chills,Body aches,Rashes,General discomfort,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Headache,Dehydration,Body aches,Feverish,Rashes,General discomfort,Chills,,,,,,,
Roseola,Runny nose,Fatigue,Swollen lymph nodes,Headache,Red eyes,Loss of appetite,Body aches,Rashes,Chills,,,,,,,
Roseola,Runny nose,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Abdominal pain,Body aches,Chills,Feverish,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Abdominal pain,Dehydration,Sweating,Body aches,Rashes,General discomfort,Fever,,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Sore throat,Red spots,Blisters,Fatigue,Cough,Sore muscles,Headache,Mild fever,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Red eyes,Abdominal pain,Rashes,Chills,Feverish,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Body aches,Rashes,Joint pain,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,Rashes,General discomfort,Fever,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Fatigue,Dehydration,Body aches,Joint pain,,,,,,,,,,
Roseola,High fever,Rash,Fatigue,Swollen lymph nodes,Sore throat,Cough,Diarrhea,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Body aches,General discomfort,Chills,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Chills,Sweating,Fever,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Muscle aches,Body aches,Rashes,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Fatigue,Dehydration,Body aches,Rashes,General discomfort,Joint pain,,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Headache,Cough,Diarrhea,Feverish,,,,,,,,,
Roseola,Diarrhea,Abdominal pain,Chills,Feverish,,,,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Headache,Abdominal pain,Dehydration,Chills,Fever,Irritability,,,,,,,,
Norovirus Infection,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Rashes,Fever,Irritability,,,,,,,,
Roseola,Irritability,Sore throat,Headache,Red eyes,Vomiting,Abdominal pain,,,,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Headache,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Bloody stools,Headache,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,,,,
Roseola,Rash,Irritability,Sore throat,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,,,,
Roseola,Runny nose,Rash,Irritability,Diarrhea,Vomiting,Chills,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,General discomfort,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,General discomfort,Chills,,,,,,,
Norovirus Infection,Vomiting,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,Rashes,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,General discomfort,Irritability,,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Fatigue,Loss of appetite,Sweating,Body aches,Rashes,Irritability,,,,,,,,
Norovirus Infection,Low-grade fever,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Rashes,Fever,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Stomach cramps,Headache,Muscle aches,Body aches,Rashes,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Stomach cramps,Fatigue,Dehydration,Rashes,Chills,,,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Headache,Cough,Red eyes,Diarrhea,Loss of appetite,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Dehydration,Sweating,Fever,,,,,,,,,
Roseola,High fever,Rash,Irritability,Cough,Diarrhea,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
Roseola,Rash,Irritability,Fatigue,Headache,Cough,Abdominal pain,,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Abdominal pain,Dehydration,Chills,Rashes,Irritability,,,,,,,
Roseola,High fever,Rash,Irritability,Cough,Red eyes,Diarrhea,Abdominal pain,Body aches,Rashes,,,,,,,
Roseola,High fever,Rash,Irritability,Red eyes,Diarrhea,Body aches,Chills,,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Body aches,General discomfort,Chills,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Rashes,,,,,
Mumps,Pain while chewing or swallowing,Fever,Tiredness,Testicle pain and tenderness,Fever,Headache,Tiredness,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Headache,Loss of appetite,Body aches,Feverish,General discomfort,Chills,,,,,,,
Roseola,Runny nose,Rash,Headache,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,,,,,,,,
